Lettie,F,9267
Roxie,F,17968
Cynthia,F,707725
Helena,F,33665
Hilda,F,80525
Hulda,F,5406
Bernice,F,181622
Genevieve,F,107353
Jean,F,457635
Cordelia,F,10488
Marian,F,139944
Francis,F,28959
Jeanette,F,162705
Adeline,F,47138
Gussie,F,13083
Leah,F,210756
Lois,F,331697
Lura,F,9459
Mittie,F,6297
Hallie,F,28799
Isabella,F,290588
Olga,F,61318
Phoebe,F,30462
Teresa,F,412480
Hester,F,14209
Lida,F,5809
Lina,F,15056
Winnie,F,23047
Claudia,F,125576
Marguerite,F,93238
Vera,F,136605
Cecelia,F,54896
Bess,F,7134
Emilie,F,24480
John,F,21657
Rosetta,F,27704
Verna,F,68710
Myrtie,F,4401
Cecilia,F,91363
Elva,F,31244
Olivia,F,396100
Ophelia,F,16254
Georgie,F,11868
Elnora,F,21144
Violet,F,127536
Adele,F,38804
Lily,F,129847
Linnie,F,7893
Loretta,F,174370
Madge,F,13425
Polly,F,29040
Virgie,F,21788
Eugenia,F,29423
Lucile,F,34572
Lucille,F,220947
Mabelle,F,2503
Rosalie,F,68564
Kittie,F,2467
Meta,F,6166
Angie,F,61370
Dessie,F,11342
Georgiana,F,8847
Lila,F,62079
Regina,F,176216
Selma,F,26126
Wilhelmina,F,11832
Bridget,F,88347
Lilla,F,4162
Malinda,F,20691
Vina,F,5149
Freda,F,42374
Gertie,F,8499
Jeannette,F,68999
Louella,F,12957
Mandy,F,41950
Roberta,F,170955
Cassie,F,44745
Corinne,F,47062
Ivy,F,41488
Melissa,F,750755
Lyda,F,4864
Naomi,F,149104
Norma,F,277185
Bell,F,2425
Margie,F,105808
Nona,F,16479
Zella,F,11901
Dovie,F,8890
Elvira,F,26504
Erma,F,54724
Irma,F,73131
Leota,F,10396
William,F,15911
Artie,F,6392
Blanch,F,6420
Charity,F,34002
Lorena,F,43129
Lucretia,F,10403
Orpha,F,5945
Alvina,F,10286
Annette,F,167453
Catharine,F,12910
Elma,F,21410
Geneva,F,87231
Janet,F,555585
Lee,F,62062
Leora,F,10927
Lona,F,10754
Miriam,F,105764
Zora,F,7354
Linda,F,1451331
Octavia,F,15017
Sudie,F,4023
Zula,F,4324
Adella,F,5302
Alpha,F,7112
Frieda,F,25114
George,F,9927
Joanna,F,100171
Leonora,F,6760
Priscilla,F,117552
Tennie,F,2777
Angeline,F,35003
Docia,F,1106
Ettie,F,1779
Flossie,F,21793
Hanna,F,36232
Letha,F,19114
Minta,F,1283
Retta,F,3344
Rosella,F,15328
Adah,F,3153
Berta,F,7221
Elisabeth,F,44898
Elise,F,60781
Goldie,F,35753
Leola,F,27903
Margret,F,9939
Adaline,F,4603
Floy,F,6611
Idella,F,6468
Juanita,F,206933
Lenna,F,3464
Lucie,F,6125
Missouri,F,1546
Nola,F,21969
Zoe,F,110814
Eda,F,4008
Isabell,F,14084
James,F,23215
Julie,F,506580
Letitia,F,11381
Madeline,F,178275
Malissa,F,8793
Mariah,F,103525
Pattie,F,9503
Vivian,F,198667
Almeda,F,4400
Aurelia,F,12017
Claire,F,172444
Dolly,F,19759
Hazel,F,245716
Jannie,F,14762
Kathleen,F,710947
Kathrine,F,15583
Lavinia,F,4920
Marietta,F,14712
Melvina,F,6624
Ona,F,7642
Pinkie,F,3881
Samantha,F,561314
Susanna,F,18238
Chloe,F,188903
Donnie,F,7121
Elsa,F,27566
Gladys,F,266085
Matie,F,579
Pearle,F,2803
Vesta,F,8116
Vinnie,F,3081
Antoinette,F,78086
Clementine,F,8575
Edythe,F,13796
Harriette,F,8670
Libbie,F,2406
Lilian,F,15321
Lue,F,6473
Lutie,F,735
Magdalena,F,16908
Meda,F,1871
Rita,F,282602
Tena,F,8093
Zelma,F,16693
Adelia,F,4836
Annetta,F,8738
Antonia,F,32014
Dona,F,18826
Elizebeth,F,4580
Georgianna,F,8998
Gracie,F,69778
Iona,F,11619
Lessie,F,14065
Leta,F,11807
Liza,F,16410
Mertie,F,1830
Molly,F,159464
Neva,F,20518
Oma,F,9579
Alida,F,4365
Alva,F,8605
Cecile,F,20191
Cleo,F,30164
Donna,F,830447
Ellie,F,49113
Ernestine,F,43985
Evie,F,11421
Frankie,F,32626
Helene,F,32987
Minna,F,2836
Myrta,F,956
Prudence,F,5376
Rilla,F,2561
Savannah,F,154165
Tessie,F,9880
Tina,F,291162
Agatha,F,8417
America,F,12095
Anita,F,213467
Arminta,F,776
Dorothea,F,33752
Ira,F,5511
Luvenia,F,3932
Marjorie,F,271654
Maybelle,F,5955
Mellie,F,2065
Nan,F,10268
Pearlie,F,18120
Sidney,F,23077
Velma,F,86587
Clare,F,28297
Constance,F,138679
Dixie,F,42472
Ila,F,21788
Iola,F,9572
Jimmie,F,22955
Louvenia,F,3625
Lucia,F,38514
Ludie,F,2687
Luna,F,17718
Metta,F,1081
Patsy,F,119261
Phebe,F,2661
Sophronia,F,1489
Adda,F,937
Avis,F,17111
Betsy,F,48089
Bonnie,F,323266
Cecil,F,7682
Cordie,F,2064
Emmaline,F,4915
Ethelyn,F,4450
Hortense,F,6312
June,F,189560
Louie,F,2177
Lovie,F,5730
Marcella,F,63242
Melinda,F,134761
Mona,F,44787
Odessa,F,17342
Veronica,F,215695
Aimee,F,52901
Annabel,F,12871
Ava,F,218404
Bella,F,49055
Carolina,F,40735
Cathrine,F,7695
Christena,F,2831
Clyde,F,3932
Dena,F,32118
Dolores,F,210870
Eleanore,F,17592
Elmira,F,4267
Fay,F,31672
Frank,F,4611
Jenny,F,90227
Kizzie,F,1741
Lonnie,F,6834
Loula,F,602
Magdalene,F,8739
Mettie,F,1030
Mintie,F,446
Peggy,F,292535
Reba,F,35221
Serena,F,39335
Vida,F,10384
Zada,F,2772
Abigail,F,333901
Celestine,F,9513
Celina,F,13973
Claudie,F,3739
Clemmie,F,2631
Connie,F,266188
Daisie,F,997
